t0,decibel,new_decibel,time,diff
173.05832199546487,-68.58128,-68.58128,1717853084458,1
289.2974149659864,-78.07046,-78.07046,1717853084458,1
51.85015873015873,-70.24864,-70.24864,1717853084458,1
6.455147392290249,-76.72404,-76.72404,1717853084458,1
253.28326530612244,-79.086235,-79.086235,1717853084458,1
234.5447619047619,-61.343307,-61.09770393481245,1717853084458,1
60.78984126984127,-53.073,-56.536500000000004,1717853084458,1
280.96145124716554,-77.27631,-77.27631,1717853084458,1
141.6649433106576,-78.41267,-78.41267,1717853084458,1
183.36798185941043,-67.45928,-67.45928,1717853084458,1
239.95501133786848,-64.33771,-64.194068902205,1717853084458,1
124.90013605442176,-78.25345,-78.25345,1717853084458,1
130.93732426303856,-79.176994,-79.176994,1717853084458,1
208.0275736961451,-65.395836,-65.395836,1717853084458,1
205.26439909297054,-65.41415,-65.41415,1717853084458,1
180.27972789115645,-68.6606,-68.6606,1717853084458,1
2.647074829931973,-57.13157,-58.260072033245,1717853084458,1
142.57052154195011,-78.56901,-78.56901,1717853084458,1
61.09170068027211,-52.2837,-56.141850000000005,1717853084458,1
24.938231292517006,-74.986115,-74.986115,1717853084458,1
169.99328798185942,-79.31815,-79.31815,1717853084458,1
274.7849433106576,-79.08964,-79.08964,1717853084458,1
157.75637188208617,-75.9359,-75.9359,1717853084458,1
45.069931972789114,-77.42739,-77.42739,1717853084458,1
283.49242630385487,-76.89329,-76.89329,1717853084458,1
228.2289342403628,-53.361095,-56.6805475,1717853084458,1
271.34839002267574,-79.30169,-79.30169,1717853084458,1
293.15192743764175,-76.858505,-76.858505,1717853084458,1
87.51600907029479,-78.88429,-78.88429,1717853084458,1
150.00090702947847,-78.4309,-78.4309,1717853084458,1
113.96353741496598,-76.12245,-76.12245,1717853084458,1
137.16027210884354,-79.12814,-79.12814,1717853084458,1
278.87165532879817,-76.82771,-76.82771,1717853084458,1
2.4380952380952383,-62.40492,-62.092872010319994,1717853084458,1
195.04761904761904,-52.421993,-56.2109965,1717853084458,1
171.01496598639457,-79.84523,-79.84523,1717853084458,1
72.81777777777778,-78.99595,-78.99595,1717853084458,1
170.10938775510203,-66.94695,-66.94695,1717853084458,1
155.41115646258504,-77.122375,-77.122375,1717853084458,1
239.02621315192744,-57.95493,-58.675313065245,1717853084458,1
261.47990929705213,-78.845276,-78.845276,1717853084458,1
212.43936507936507,-57.43656,-58.40598123168,1717853084458,1
126.73451247165534,-79.48553,-79.48553,1717853084458,1
99.2885260770975,-79.14982,-79.14982,1717853084458,1
151.92816326530613,-78.03139,-78.03139,1717853084458,1
63.97097505668934,-64.13485,-63.955986726125,1717853084458,1
31.346938775510203,-77.314575,-77.314575,1717853084458,1
146.30893424036282,-78.810974,-78.810974,1717853084458,1
13.305034013605443,-77.87156,-77.87156,1717853084458,1
203.1978231292517,-71.06085,-71.06085,1717853084458,1
21.803537414965987,-79.36859,-79.36859,1717853084458,1
120.46512471655329,-79.06511,-79.06511,1717853084458,1
294.1039455782313,-76.64547,-76.64547,1717853084458,1
78.73886621315192,-78.69399,-78.69399,1717853084458,1
201.5956462585034,-52.558064,-56.279032,1717853084458,1
90.58104308390023,-73.03674,-73.03674,1717853084458,1
14.164172335600908,-79.565506,-79.565506,1717853084458,1
106.34739229024943,-74.59053,-74.59053,1717853084458,1
213.13596371882088,-69.96895,-69.96895,1717853084458,1
65.45705215419501,-51.16054,-55.58027,1717853084458,1
177.214693877551,-46.38218,-53.19109,1717853084458,1
56.30839002267574,-59.27091,-59.479761111405,1717853084458,1
140.1556462585034,-78.68577,-78.68577,1717853084458,1
45.789750566893424,-75.892944,-75.892944,1717853084458,1
50.921360544217684,-73.66887,-73.66887,1717853084458,1
287.13795918367344,-76.927345,-76.927345,1717853084458,1
268.16725623582767,-79.622925,-79.622925,1717853084458,1
49.412063492063496,-73.05413,-73.05413,1717853084458,1
240.5819501133787,-54.713642,-57.356821,1717853084458,1
56.14585034013606,-53.295235,-56.647617499999996,1717853084458,1
237.30793650793652,-56.679832,-58.0610497774112,1717853084458,1
49.71392290249433,-72.64777,-72.64777,1717853084458,1
