t0,decibel,new_decibel
0.0,-73.046036,-73.046036
0.023219954648526,-69.878044,-69.878044
0.0464399092970521,-70.79867,-70.79867
0.0696598639455782,-71.27946,-71.27946
0.0928798185941043,-71.548615,-71.548615
0.1160997732426303,-71.677025,-71.677025
0.1393197278911564,-72.09939,-72.09939
0.1625396825396825,-72.3498,-72.3498
0.1857596371882086,-72.44868,-72.44868
0.2089795918367347,-72.5073,-72.5073
0.2321995464852607,-72.71014,-72.71014
0.2554195011337868,-72.99715,-72.99715
0.2786394557823129,-72.820244,-72.820244
0.301859410430839,-73.17977,-73.17977
0.3250793650793651,-73.66832,-73.66832
0.3482993197278911,-73.767746,-73.767746
0.3715192743764172,-73.60047,-73.60047
0.3947392290249433,-73.97886,-73.97886
0.4179591836734694,-73.87874,-73.87874
0.4411791383219954,-74.00727,-74.00727
0.4643990929705215,-74.24064,-74.24064
0.4876190476190476,-74.376045,-74.376045
0.5108390022675737,-74.45471,-74.45471
0.5340589569160997,-74.7916,-74.7916
0.5572789115646258,-74.79976,-74.79976
0.5804988662131519,-75.02487,-75.02487
0.603718820861678,-75.20369,-75.20369
0.626938775510204,-75.398735,-75.398735
0.6501587301587302,-75.19828,-75.19828
0.6733786848072563,-75.337074,-75.337074
0.6965986394557823,-75.41327,-75.41327
0.7198185941043084,-75.41518,-75.41518
0.7430385487528345,-75.589905,-75.589905
0.7662585034013606,-75.57762,-75.57762
0.7894784580498866,-75.660446,-75.660446
0.8126984126984127,-75.4632,-75.4632
0.8359183673469388,-75.358406,-75.358406
0.8591383219954648,-75.01018,-75.01018
0.8823582766439909,-74.48989,-74.48989
0.905578231292517,-73.59656,-73.59656
0.9287981859410432,-72.86319,-72.86319
0.9520181405895692,-72.50766,-72.50766
0.9752380952380952,-72.0098,-72.0098
0.9984580498866212,-71.769875,-71.769875
1.0216780045351477,-70.95446,-70.95446
1.0448979591836736,-70.115,-70.115
1.0681179138321997,-69.67741,-69.67741
1.0913378684807256,-69.67554,-69.67554
1.1145578231292517,-69.258156,-69.258156
1.1377777777777778,-69.21712,-69.21712
1.160997732426304,-69.518326,-69.518326
1.18421768707483,-68.84826,-68.84826
1.207437641723356,-68.43776,-68.43776
1.230657596371882,-67.47528,-67.47528
1.253877551020408,-66.507095,-66.507095
1.2770975056689342,-65.89799,-65.89799
1.3003174603174603,-64.845276,-64.8077919758088
1.3235374149659864,-64.472176,-64.35414990874881
1.3467573696145123,-64.903595,-64.87995844620124
1.3699773242630386,-65.14296,-65.14296
1.3931972789115643,-64.91624,-64.89565078688
1.4164172335600906,-64.93312,-64.91662364672
1.4396371882086167,-65.013275,-65.013275
1.4628571428571429,-64.985054,-64.98132866914581
1.486077097505669,-65.52724,-65.52724
